id,split,V,A,D,text
Nathans_Bylichka_45546_45651,train,3.11,3.11,2.67,"He glanced at me with honest concern, probably the first honest moment he’d shown me: ‘Is she all right?’"
119CWL041_1188_1245,train,3.3,3.0,3.1,I have enclosed a pledge card for your convenience.
A_defense_of_Michael_Moore_12661_12868,train,3.0,2.89,3.11,"He certainly does not ""attribute it to a speech where it was not uttered"" and, as noted above, doing so twice would make no sense whatsoever if Moore was the mastermind deceiver that his critics claim he is."
How_soon-Fans_955_983,train,3.0,2.73,3.27,Get Flash Player from Adobe.
Madame_White_Snake_6868_7043,train,2.6,3.1,3.2,Female beauty is a dangerous thing that ties men to the transitory world and prohibits them from being free from desire and ascending to Nirvana.
SemEval_1385,train,3.0,3.0,3.0,10 don't-miss tax breaks
captured_moments_30704_30723,train,2.91,3.27,2.91,"""You're all right?"""
easy_money_15167_15281,dev,2.8,2.9,2.8,"But mostly, I'm wondering what will happen when I try to make those gestures, that ""device"" right here in my cell?"
Nathans_Bylichka_10849_10929,train,2.9,3.0,3.0,"With that, he made a sharp turn onto a side street that I hadn’t noticed before."
hsus4_4167_4258,train,3.0,2.88,3.62,P.S. We are totally committed to putting an end to all forms of animal cruelty and neglect.
Ohio_Steel_19223_19652,train,2.7,3.2,3.0,"The efforts to avoid catastrophe after the fact were unsuccessful for four main reasons: the failure of the international steel market, the lack of funds and plans in initiatives such as the Save Our Valley Campaign, the refusal of the USWA to support their local chapter out of ineptitude and fear, and the absurd but very real regionalism which corrupted solidarity efforts and drove away any hope for brining in new companies."
A_defense_of_Michael_Moore_15008_15085,dev,2.9,3.0,3.1,"""we wanted to let the NRA know that we haven't forgotten about Kayla Rolland"""
NWF1_4766_4860,train,3.11,3.11,3.33,"So, please take a moment right now and become a member of NWF with a gift of only $15 or more."
112C-L015_859_939,train,2.12,3.25,2.75,Many of the children have no homes; no memories of joy from past holidays.
Nathans_Bylichka_41638_41672,train,3.0,2.9,3.4,"You may leave out the ‘Lady,’ boy."
114CUL059_864_910,train,3.0,2.9,3.1,"That ""we"" includes the Youth Leadership teens."
captured_moments_19063_19096,train,2.3,3.0,2.6,She was never tolerant of my ego.
Italy_2198_2875,test,2.9,3.0,3.0,"Into the Initiative's underground bunker: Then, from the bathroom-Initiative across the hall: Into his parent's basement: And into an ice cream truck: Past the the come-hither lesbians: Through the back of the ice cream truck: By means of a passage: That returns him to you guessed it his parents' basement: In which he exits the same door he originally entered it from Buffy's house only to end up in the halls of Sunnydale High and (shortly) an Apocalypse Now parody: The only difference between what Whedon did and Urbino is that you could travel through the side streets of Urbino with a camera and accomplish such feats (minus the Coppola) without needing to cut once ."
110CYL071_1962_2031,test,3.0,2.38,3.38,"The savings are counted in more ways than dollars and cents, however."
detroit_5870_5881,train,3.1,3.3,3.5,I need that
SemEval_579,train,2.5,2.7,2.7,Snow causes airport closures in Britain
How_soon-Lebron-James_438_602,test,2.8,3.1,3.0,"Lebron didn't play college basketball, he went straight from high school to the pros, and since joining the Cleveland Cavaliers he's won exactly zero NBA champions."
NYTnewswire7_188_318,train,2.9,2.4,2.9,"ATTENTION EDITORS: This article from the NEWHOUSE NEWS SERVICE report of TUESDAY, JULY 30, 2002, is available as a ""separate buy."""
116CUL033_504_706,train,3.2,2.9,3.2,"MCCOY Inc., originally founded as a government agency but re-organized in 1993 as an independent not-for-profit, is a county-wide youth services coordinating, planning, and convening agency."
Uprooted_Bike_76_138,train,3.0,3.0,3.0,This post is the first of a three-part series on bike culture.
The_Black_Willow_1926_2022,train,2.6,2.8,2.6,"As he thought this, a sinuous wind encircled the house, slipping through the walls to chill him."
hotel-california_20862_20914,train,2.89,2.67,2.78,"“Leaving your wife, I mean. Traveling on this ship.”"
SemEval_703,train,2.9,3.0,3.0,Ingredient in male sweat raises women's hormone levels
Ant_Robot_25738_25959,train,3.0,2.67,3.11,"In order to orient itself toward the nest while navigating outside, Antie will need to determine which direction the nest is in and rotate toward that heading, and also how far from the nest it is at its current location."
Ohio_Steel_12561_12666,test,2.9,2.9,3.0,"College tuition, clothes, food, and heating all had to come before donations to non-profit organizations."
wsj_0127_599_801,train,3.0,2.7,2.9,"Pretax profit fell 3.7% to #128 million from #133 million and was below analysts' expectations of #130 million to #135 million, but shares rose 6 pence to 388 pence in early trading yesterday in London."
Anti-Terrorist_1521_1567,dev,3.2,3.0,3.3,And I think this is what they are waiting for.
SemEval_1298,train,3.67,3.22,3.0,Mother: Lohan is doing 'great' in rehab
hotel-california_4834_4896,train,2.9,3.2,2.9,"“No, I meant, where's the ship going? What's our destination?”"
hotel-california_32145_32174,train,3.0,2.63,2.91,The one thing that was known.
20000410_nyt-NEW_284_564,train,2.8,3.3,2.8,"The Dayton Democrat, who has traveled to other crisis points including Sierra Leone and North Korea, will spend three days visiting hospitals and other facilities to seek understanding why aid has been ineffective in stemming malnourishment and other medical problems."
110CYL070_1264_1318,train,3.14,3.0,3.29,Support Goodwill with a generous donation today.
SemEval_1351,dev,3.5,3.0,3.38,Study: On-the-job naps might help heart
hotel-california_8875_9005,train,3.18,3.27,2.82,"Sarah transferred the glass to my free hand and pulled me away from the bar for more introductions, with Alexis trailing after us."
WhereToHongKong_46881_47038,train,2.9,2.9,3.0,"Photos and documents tell the life story of the physician-revolutionary-statesman, who lived for a time in Macau, but never in this building."
SemEval_1458,dev,3.45,3.09,3.37,Charles Gibson takes over first place
blog-monastery_5363_5373,train,2.58,2.67,2.67,Never done
110CYL069_1402_1477,train,3.0,2.9,3.2,Parents act as role models of self-sufficiency instead of dependency.
SemEval_59,train,2.6,2.9,3.0,Confusion Reigns In the Expanding Digital World
captured_moments_38427_38583,train,3.4,2.9,3.5,"Know this, my future self: Thanks to us, Emil Malaquez's name will live as long as his masterpiece, ""A Self-Portrait: Anguish,"" endures."
appalachian1_4444_4459,train,2.9,3.2,3.1,Prowl for owls.
Madame_White_Snake_4839_5121,train,2.9,3.1,3.0,"“Not only is the hero frequently not sure whether the woman is honest or a deceiver, but the heroine’s characterisation is itself fractured so that it is not evident to the audience whether she fills the [femme fatale] stereotype or not”"
The_Black_Willow_4394_4422,dev,2.18,3.37,2.82,"""will you never leave me be?"
SemEval_1047,dev,2.4,2.9,2.9,Japanese whaling ship won't accept help
AMC2_1985_2169,train,3.1,3.0,3.2,"It includes detailed maps and photographs; camping and picnicking information; driving, parking, and canoe put-in instructions; illustrated nature essays; tips on safety and equipment."
Nathans_Bylichka_11531_11577,train,3.12,3.12,3.25,“You’ll be used to the sensation in a moment.”
113CWL018_153_220,train,2.45,3.0,2.45,Youngsters often find themselves feeling alienated and alone.
114CUL057_1550_1604,train,3.1,2.9,3.1,"Call Pat Bray at 241-2661 or e-mail, jcfundrzr@aol.com"
SemEval_844,test,2.2,3.5,3.2,Boy Scouts blamed for starting wildfire
How_soon-Lebron-James_3136_3165,train,2.75,3.38,3.12,Update 2: And so it begins...
easy_money_14786_14877,train,3.1,3.1,3.2,"But they speculated all through the trial about where the gold came from, offered me deals."
detroit_9593_9753,train,2.3,3.8,3.1,"You think I'm kidding, but I couldn't be more serious -- that Honda is a visceral reminder for people of how the American consumer has left Detroit in the dust."
SemEval_580,train,3.4,3.0,3.1,Bananaconda inventor is top poet of kids
WhereToHongKong_43429_43625,train,3.7,3.6,3.2,"Also in front of the ferry terminal is a new Cyber fountain, with 86 water spouts that shoot up to 70 m (230 ft) and are illuminated at night by 288 spotlights producing 80 colors."
Fermentation_HR5034_9238_9324,dev,3.0,3.0,3.3,"""State laws that raise concerns can and should be addressed in the state legislature."""
114CUL060_2316_2326,train,3.0,2.88,2.88,"Sincerely,"
Ant_Robot_26090_26314,train,3.0,2.89,3.22,"Antie will therefore have a polarization function that will return a compass direction toward which it should orient in order to return home to the nest, and a distance function that will return the shortest direct distance."
hotel-california_14933_14979,train,2.78,3.11,3.0,"“I believe we'll see the end of the universe,”"
HistoryLasVegas_5888_6073,train,3.14,3.0,3.29,"In 1903, officials of the San Pedro, Los Angeles, and Salt Lake Railroad arrived in Las Vegas, eager to secure a right-of-way for their Los Angeles–Salt Lake connection."
SemEval_995,train,3.6,3.3,3.1,Surprise: China cuts price of gas
Seedbombing_4917_4947,train,4.0,3.2,3.1,Your mom and aunt sound great.
A_defense_of_Michael_Moore_24855_24950,dev,3.12,3.12,3.12,"He asks us to ""look at what I, a foreign citizen, was able to do at a local Canadian Wal-Mart."""
114CUL058_286_510,train,3.09,2.73,3.0,"The camp offers summer residential programs for children from ages 7-17, and continues contact with the campers and their families with special overnight and weekend follow-up events during the school year."
