item1_id,item2_id,item1_text,item2_text,item1_valence,item2_valence,item1_arousal,item2_arousal,item1_dominance,item2_dominance,valence_human_1,valence_human_2,valence_human_3,arousal_human_1,arousal_human_2,arousal_human_3,dominance_human_1,dominance_human_2,dominance_human_3
113CWL018_952_1022,hsus4_4933_5015,Your contribution last year of helped us get where we are today.,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.9,2.8,3.1,2.8,3.4,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
Nathans_Bylichka_15318_15334,captured_moments_33844_33911,"“Thanks, Dvorov.","I heard no voices until Malaquez said, ""Enter.""",3.56,2.9,3.0,2.9,3.22,2.9,Text1,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text1
116CUL034_796_978,SemEval_1154,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",Audio Slide Show: A love story lasting 61 years,3.2,3.2,3.0,2.9,3.5,3.0,Text2,Text2,Text1,Text2,Text1,Text1,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,captured_moments_33844_33911,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","I heard no voices until Malaquez said, ""Enter.""",2.7,2.9,3.3,2.9,2.9,2.9,Text2,Text2,Text1,Text2,Text1,Text1,Text2,Text2,Text2
The_Black_Willow_11596_11663,116CUL034_2074_2422,"Allan crouched over his desk once more, pen in hand and mind blank.","Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",2.7,3.5,3.0,3.13,2.8,3.12,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text2,Text2
NYTnewswire7_3260_3393,blog-new-year's-resolutions_1573_1737,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.0,3.1,3.0,3.3,3.12,3.2,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text1
hotel-california_33157_33182,118CWL050_2436_2656,Our instinct was to hide.,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",2.8,3.0,3.1,3.0,2.8,3.0,Text2,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text1
The_Black_Willow_11596_11663,118CWL050_2436_2656,"Allan crouched over his desk once more, pen in hand and mind blank.","Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",2.7,3.0,3.0,3.0,2.8,3.0,Text2,Text1,Text1,Text2,Text2,Text2,Text1,Text2,Text2
116CUL034_796_978,Ant_Robot_19422_19434,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.",The Behavior,3.2,3.0,3.0,2.78,3.5,3.0,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text1
How_soon-Lebron-James_2193_2304,hsus4_4933_5015,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",2.7,2.8,3.3,2.8,2.9,3.1,Text2,Text2,Text1,Text2,Text1,Text2,Text2,Text2,Text2
The_Black_Willow_11596_11663,NYTnewswire4_3018_3182,"Allan crouched over his desk once more, pen in hand and mind blank.","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.7,3.37,3.0,3.63,2.8,3.25,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
blog-new-year's-resolutions_1573_1737,SemEval_1154,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,Audio Slide Show: A love story lasting 61 years,3.1,3.2,3.3,2.9,3.2,3.0,Text1,Text1,Text1,Text1,Text1,Text2,Text1,Text1,Text2
SemEval_597,hsus4_4933_5015,Stenson defends his title at Dubai,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.12,2.8,3.12,2.8,3.12,3.1,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text2
blog-new-year's-resolutions_1573_1737,Nathans_Bylichka_38817_38837,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,“Didn’t I warn you?”,3.1,2.44,3.3,3.33,3.2,3.33,Text1,Text1,Text1,Text2,Text2,Text1,Text2,Text2,Text2
SemEval_1155,detroit_12208_12263,Microsoft to release next generation phone,"Did we build sane, sustainable, survival shelter homes?",3.36,3.1,3.0,3.0,3.27,3.1,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
wsj_2465_4206_4287,blog-new-year's-resolutions_1573_1737,Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,3.0,3.1,3.14,3.3,3.14,3.2,Text2,Text2,Text1,Text2,Text1,Text2,Text2,Text2,Text2
Nathans_Bylichka_29483_29506,hsus4_4933_5015,"“Roll up your sleeves,”","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.0,2.8,3.4,2.8,3.4,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2
116CUL034_2074_2422,captured_moments_5085_5254,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.5,3.29,3.13,3.29,3.12,3.43,Text1,Text2,Text1,Text2,Text2,Text2,Text2,Text1,Text2
118CWL050_2436_2656,blog-new-year's-resolutions_5010_5074,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",Self-efficacy did not have a significant effect on goal-setting.,3.0,2.9,3.0,3.0,3.0,3.1,Text1,Text2,Text2,Text2,Text1,Text2,Text2,Text1,Text1
The_Black_Willow_11596_11663,Anti-Terrorist_4031_4279,"Allan crouched over his desk once more, pen in hand and mind blank.","Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",2.7,2.92,3.0,3.0,2.8,2.91,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1
Nathans_Bylichka_15318_15334,blog-new-year's-resolutions_5010_5074,"“Thanks, Dvorov.",Self-efficacy did not have a significant effect on goal-setting.,3.56,2.9,3.0,3.0,3.22,3.1,Text1,Text1,Text1,Text2,Text1,Text2,Text2,Text1,Text2
Anti-Terrorist_4031_4279,captured_moments_5085_5254,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.92,3.29,3.0,3.29,2.91,3.43,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_763,Nathans_Bylichka_12551_12560,Secret hotels in Irish countryside,What up?”,2.86,3.11,3.0,3.11,2.86,3.11,Text2,Text2,Text1,Text2,Text1,Text2,Text2,Text2,Text1
hsus4_4933_5015,captured_moments_5085_5254,"REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.","Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",2.8,3.29,2.8,3.29,3.1,3.43,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
hotel-california_33157_33182,Nathans_Bylichka_38817_38837,Our instinct was to hide.,“Didn’t I warn you?”,2.8,2.44,3.1,3.33,2.8,3.33,Text2,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_763,Nathans_Bylichka_45926_45965,Secret hotels in Irish countryside,"Isis collapsed on the fur, strings cut.",2.86,2.6,3.0,3.4,2.86,3.1,Text1,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_1154,captured_moments_33844_33911,Audio Slide Show: A love story lasting 61 years,"I heard no voices until Malaquez said, ""Enter.""",3.2,2.9,2.9,2.9,3.0,2.9,Text1,Text2,Text1,Text2,Text2,Text2,Text1,Text1,Text1
SemEval_1155,hotel-california_33157_33182,Microsoft to release next generation phone,Our instinct was to hide.,3.36,2.8,3.0,3.1,3.27,2.8,Text1,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text1
116CUL034_796_978,Nathans_Bylichka_29483_29506,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","“Roll up your sleeves,”",3.2,3.0,3.0,3.4,3.5,3.4,Text1,Text1,Text1,Text2,Text2,Text2,Text2,Text1,Text1
detroit_12208_12263,hotel-california_33157_33182,"Did we build sane, sustainable, survival shelter homes?",Our instinct was to hide.,3.1,2.8,3.0,3.1,3.1,2.8,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text2
Nathans_Bylichka_45926_45965,Nathans_Bylichka_12551_12560,"Isis collapsed on the fur, strings cut.",What up?”,2.6,3.11,3.4,3.11,3.1,3.11,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text2,Text2
Ant_Robot_19422_19434,116CUL034_2074_2422,The Behavior,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.0,3.5,2.78,3.13,3.0,3.12,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text1
Nathans_Bylichka_45926_45965,602CZL285_86_259,"Isis collapsed on the fur, strings cut.",Pat LaCrosse asked me to send this information inviting you to join the Georgia O'Keeffe Circle of the Indianapolis Museum of Art's Second Century Society (SCS).,2.6,3.5,3.4,3.0,3.1,3.17,Text2,Text2,Text2,Text1,Text1,Text2,Text2,Text2,Text2
Anti-Terrorist_4031_4279,Nathans_Bylichka_15318_15334,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.","“Thanks, Dvorov.",2.92,3.56,3.0,3.0,2.91,3.22,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2
The_Black_Willow_11596_11663,hotel-california_25973_25999,"Allan crouched over his desk once more, pen in hand and mind blank.",No one else said anything.,2.7,2.82,3.0,2.55,2.8,3.09,Text1,Text2,Text2,Text1,Text1,Text1,Text2,Text2,Text2
SemEval_763,NYTnewswire7_3260_3393,Secret hotels in Irish countryside,"""We are also taking a real hard look currently at almost all species of shark, though we haven't made a formal statement about that.""",2.86,3.0,3.0,3.0,2.86,3.12,Text2,Text1,Text1,Text1,Text1,Text1,Text2,Text2,Text2
Ant_Robot_19422_19434,118CWL050_2436_2656,The Behavior,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",3.0,3.0,2.78,3.0,3.0,3.0,Text2,Text2,Text2,Text2,Text1,Text1,Text1,Text1,Text1
NYTnewswire4_3018_3182,SemEval_1154,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",Audio Slide Show: A love story lasting 61 years,3.37,3.2,3.63,2.9,3.25,3.0,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2,Text1
Ant_Robot_19422_19434,NYTnewswire4_3018_3182,The Behavior,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",3.0,3.37,2.78,3.63,3.0,3.25,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2,Text1
blog-new-year's-resolutions_1573_1737,captured_moments_5085_5254,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"Her lower lip (a trifle too narrow for her face, perhaps her only physical flaw) thrust forward slightly as she started to speak.",3.1,3.29,3.3,3.29,3.2,3.43,Text2,Text2,Text2,Text1,Text1,Text1,Text2,Text1,Text1
113CWL018_952_1022,Nathans_Bylichka_45926_45965,Your contribution last year of helped us get where we are today.,"Isis collapsed on the fur, strings cut.",3.9,2.6,3.1,3.4,3.4,3.1,Text1,Text1,Text1,Text2,Text1,Text2,Text1,Text1,Text1
blog-new-year's-resolutions_1573_1737,Nathans_Bylichka_29483_29506,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"“Roll up your sleeves,”",3.1,3.0,3.3,3.4,3.2,3.4,Text1,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2
How_soon-Lebron-James_2193_2304,hotel-california_33157_33182,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",Our instinct was to hide.,2.7,2.8,3.3,3.1,2.9,2.8,Text2,Text2,Text1,Text1,Text1,Text1,Text1,Text2,Text2
116CUL034_2074_2422,hsus4_4933_5015,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.","REGISTRATION DOES NOT IMPLY ENDORSEMENT, APPROVAL, OR RECOMMENDATION BY THE STATE.",3.5,2.8,3.13,2.8,3.12,3.1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text2
Nathans_Bylichka_38817_38837,Nathans_Bylichka_12551_12560,“Didn’t I warn you?”,What up?”,2.44,3.11,3.33,3.11,3.33,3.11,Text2,Text2,Text2,Text1,Text2,Text1,Text2,Text1,Text1
SemEval_1155,SemEval_763,Microsoft to release next generation phone,Secret hotels in Irish countryside,3.36,2.86,3.0,3.0,3.27,2.86,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text1
SemEval_763,Anti-Terrorist_4031_4279,Secret hotels in Irish countryside,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.",2.86,2.92,3.0,3.0,2.86,2.91,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text2,Text2
detroit_12208_12263,SemEval_763,"Did we build sane, sustainable, survival shelter homes?",Secret hotels in Irish countryside,3.1,2.86,3.0,3.0,3.1,2.86,Text1,Text2,Text1,Text2,Text2,Text1,Text1,Text1,Text2
Nathans_Bylichka_45926_45965,NYTnewswire4_3018_3182,"Isis collapsed on the fur, strings cut.","You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.6,3.37,3.4,3.63,3.1,3.25,Text2,Text2,Text1,Text2,Text2,Text2,Text2,Text2,Text2
Anti-Terrorist_4031_4279,Uprooted_Farming-on-Sand_3238_3353,"Beyond these two sources, there is virtually no terrorist activity in the world, with the possible exception of localized disputes such as in Northern Ireland and occasional domestic episodes in various places involving isolated disaffected groups.","Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",2.92,3.14,3.0,3.0,2.91,3.43,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2,Text2
SemEval_597,hotel-california_33157_33182,Stenson defends his title at Dubai,Our instinct was to hide.,3.12,2.8,3.12,3.1,3.12,2.8,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text2
Nathans_Bylichka_15318_15334,116CUL034_2074_2422,"“Thanks, Dvorov.","Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.56,3.5,3.0,3.13,3.22,3.12,Text2,Text2,Text1,Text2,Text2,Text2,Text1,Text1,Text1
116CUL034_796_978,captured_moments_33844_33911,"We have met with a number of successes along the way, most notably the Summer Fun Line, the Metro Summer Bus Pass, and the development of ten neighborhood youth councils.","I heard no voices until Malaquez said, ""Enter.""",3.2,2.9,3.0,2.9,3.5,2.9,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text1
hotel-california_25973_25999,SemEval_1154,No one else said anything.,Audio Slide Show: A love story lasting 61 years,2.82,3.2,2.55,2.9,3.09,3.0,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text1
Nathans_Bylichka_38817_38837,118CWL050_2436_2656,“Didn’t I warn you?”,"Will you make a financial gift to Big Sisters in 1999 that will ensure that more young people receive the guidance they need, that more young people stay in school, stay off drugs and make good choices?",2.44,3.0,3.33,3.0,3.33,3.0,Text2,Text2,Text2,Text1,Text2,Text1,Text1,Text1,Text2
SemEval_597,116CUL034_2074_2422,Stenson defends his title at Dubai,"Since its re-organization, MCCOY has established its unique niche within the community by refraining from direct service programming and focusing on what it does best: helping to identify youth needs, convening groups of individuals and organizations which can address those needs, and moving toward collaborative solutions.",3.12,3.5,3.12,3.13,3.12,3.12,Text2,Text2,Text2,Text2,Text2,Text1,Text2,Text1,Text1
Nathans_Bylichka_38817_38837,NYTnewswire4_3018_3182,“Didn’t I warn you?”,"You're a focal point, and people are looking at you, but it's a team game, and you depend on your team 1,000 times more than that billboard to get you the Heisman.""",2.44,3.37,3.33,3.63,3.33,3.25,Text2,Text2,Text2,Text2,Text2,Text2,Text1,Text1,Text2
SemEval_597,SemEval_763,Stenson defends his title at Dubai,Secret hotels in Irish countryside,3.12,2.86,3.12,3.0,3.12,2.86,Text1,Text1,Text1,Text1,Text1,Text1,Text1,Text2,Text1
blog-new-year's-resolutions_1573_1737,captured_moments_33844_33911,An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.,"I heard no voices until Malaquez said, ""Enter.""",3.1,2.9,3.3,2.9,3.2,2.9,Text1,Text1,Text2,Text1,Text1,Text1,Text1,Text1,Text1
Uprooted_Farming-on-Sand_3238_3353,hotel-california_33157_33182,"Provincetown's official population of 3,500 supports a tourism industry that serves millions of visitors each year.",Our instinct was to hide.,3.14,2.8,3.0,3.1,3.43,2.8,Text1,Text1,Text1,Text2,Text2,Text2,Text1,Text1,Text2
