1,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
snomedct_398299004,rarelink_3_patient_status,,text,3.2 Time of Death,,"If deceased, the individual’s date of death. If the specific month or day is not known, select the 1st day of the month or the 1st month of the year, respectively",date_ymd,,,,[snomedct_278844005] = 'snomedct_419099009',,,,,,"Variable:
SNOMED:398299004 | Time of Death |
Choices: n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Patient.deceasedDateTime
- GA4GH Phenopacket Schema v2.0 Element: Individual.VitalStatus.time_of_death"
snomedct_184305005,rarelink_3_patient_status,,text,3.3 Cause of Death [ICD10CM],BIOPORTAL:ICD10CM,"If deceased, the individual’s primary cause of death (i.e. according to the death certificate).",,,,,[snomedct_278844005] = 'snomedct_419099009',,,,,,"Variable:
SNOMED:184305005 | Cause of Death |
Choices: n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Observation.value.coding.code
- GA4GH Phenopacket Schema v2.0 Element: Individual.VitalStatus.cause_of_death"
snomedct_105727008,rarelink_3_patient_status,,dropdown,3.4 Age Category,"snomedct_3658006, Infancy | snomedct_713153009, Toddler | snomedct_255398004, Childhood | snomedct_263659003, Adolescence | snomedct_41847000, Adulthood | snomedct_303112003, Fetal period | snomedct_419099009, Dead | snomedct_261665006, Unknown",The individual's age category at the time of data capture (1.2).,,,,,,,,,,,"Variable:
SNOMED:105727008 | Age Category |
Choices: 
- SNOMED:3658006 | Infancy
- SNOMED:713153009 | Toddler
- SNOMED:255398004 | Childhood
- SNOMED:263659003 | Adolescence
- SNOMED:41847000 | Adulthood
- SNOMED:303112003 | Fetal period
- SNOMED:419099009 | Dead
- SNOMED:261665006 | Unknown
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Observation.value.coding.code
- GA4GH Phenopacket Schema v2.0 Element: Individual.time_at_last_encounter.ontology_class"
snomedct_412726003,rarelink_3_patient_status,,text,3.5 Length of Gestation at Birth [weeks+days],,"The duration of the pregnancy in weeks and days, from the first day of the last menstrual period to the day of delivery, formatted as XX+X (weeks+days).",,,,,,,,,,,"Variable:
SNOMED:412726003 | Length of Gestation at Birth [weeks+days] |
Choices: 
- n/a
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Observation.component:weeks.valueQuantity and Observation.component:days.valueQuantity
- GA4GH Phenopacket Schema v2.0 Element: n/a"
snomedct_723663001,rarelink_3_patient_status,,dropdown,3.6 Undiagnosed RD Case,"snomedct_373066001, Yes | snomedct_373067005, No",Identifies cases where an RD diagnosis has not been established.,,,,,,,,,,,"Variable:
SNOMED:723663001 | Undiagnosed RD Case |
Choices: 
- SNOMED:373066001 | Yes
- SNOMED:373067005 | No
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Condition.code (e.g., ORDO:616874 - Rare disorder without a determined diagnosis after full investigation)
- GA4GH Phenopacket Schema v2.0 Element: Disease.term:OntologyClass (e.g., ORDO:616874 - Rare disorder without a determined diagnosis after full investigation)"
hl7fhir_enc_period_start,rarelink_4_care_pathway,"<div class=""rich-text-field-label""><p>RareLink - 4) Care Pathway</p> <ul> <li style=""font-size: 8pt;""><span style=""font-size: 8pt;"">Tip: For guidance on entering data into the Care Pathway sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#care-pathway"">Manual Data Capture Guide</a>.</span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul></div>",text,4.1 Encounter Start,,"The beginning of an encounter of the individual. If the specific month or day is not known, select the 1st day of the month or the 1st month of the year, respectively",date_ymd,,,,,,,,,,"Variable:
HL7 FHIR:encounter.period.start | Encounter Start |
Choices: n/a
Version(s): 
- HL7 FHIR Version 4.0.1
Mapping:
- HL7 FHIR Expression v4.0.1: Encounter.period.start
- GA4GH Phenopacket Schema v2.0 Element: n/a"
hl7fhir_enc_period_end,rarelink_4_care_pathway,,text,4.2 Encounter End,,"The end of an encounter of the individual. If the specific month or day is not known, select the 1st day of the month or the 1st month of the year, respectively",date_ymd,,,,,,,,,,"Variable:
HL7 FHIR:encounter.period.end | Encounter End |
Choices: n/a
Version(s): 
- HL7 FHIR Version 4.0.1
Mapping:
- HL7 FHIR Expression v4.0.1: Encounter.period.end
- GA4GH Phenopacket Schema v2.0 Element: n/a"
snomedct_305058001,rarelink_4_care_pathway,,dropdown,4.3 Encounter Status,"hl7fhir_planned, Planned | hl7fhir_arrived, Arrived | hl7fhir_triaged, Triaged | hl7fhir_in-progress, In Progress | hl7fhir_onleave, On Leave | hl7fhir_finished, Finished | hl7fhir_cancelled, Cancelled | hl7fhir_entered-in-error, Entered in Error | hl7fhir_unknown, Unknown",The status of an encounter of the individual at the time of data capture.,,,,,,y,,,,,"Variable:
SNOMED:305058001 | Encounter Status |
Choices: 
- SNOMED:planned | Planned
- SNOMED:arrived | Arrived
- SNOMED:triaged | Triaged
- SNOMED:in-progress | In Progress
- SNOMED:onleave | On Leave
- SNOMED:finished | Finished
- SNOMED:cancelled | Cancelled
- SNOMED:entered-in-error | Entered in Error
- SNOMED:unknown | Unknown
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Encounter.status
- GA4GH Phenopacket Schema v2.0 Element: n/a"
hl7fhir_encounter_class,rarelink_4_care_pathway,,dropdown,4.4 Encounter Class,"hl7fhir_amb, Ambulatory | hl7fhir_imp, Inpatient | hl7fhir_obsenc, Observation | hl7fhir_emer, Emergency | hl7fhir_vr, Virtual | hl7fhir_hh, Home Health | rarelink_rdc, RD Specialist Center | snomedct_261665006, Unknown",The class of an encounter of the individual at the time of data capture.,,,,,,y,,,,,"Variable:
HL7 FHIR:encounter.class | Encounter Class |
Choices: 
- HL7 FHIR:AMB | Ambulatory
- HL7 FHIR:IMP | Inpatient
- HL7 FHIR:OBSENC | Observation
- HL7 FHIR:EMER | Emergency
- HL7 FHIR:VR | Virtual
- HL7 FHIR:HH | Home Health
- HL7 FHIR:RDC | RD Specialist Center
- SNOMED:261665006 | Unknown
Version(s): 
- HL7 FHIR Version 4.0.1
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01
Mapping:
- HL7 FHIR Expression v4.0.1: Encounter.class
- GA4GH Phenopacket Schema v2.0 Element: n/a"
disease_coding,rarelink_5_disease,"<p>RareLink - 5) Disease</p> <ul> <li style=""font-size: 8pt;""><span style=""font-size: 8pt;"">Tip: For guidance on entering data into the Disease sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#disease"">Manual Data Capture Guide</a>.</span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul>",dropdown,Please choose the encoding of the disease to be captured,"mondo, MONDO | ordo, ORDO | icd10cm, ICD10CM | icd11, ICD11 | omim, OMIM",We recommend using MONDO to capture diseases with,,,,,,,,,,,
snomedct_64572001_mondo,rarelink_5_disease,,text,5.1 Disease [MONDO],BIOPORTAL:MONDO,"Please look up the MONDO code for the disease that the individual was affected by. If a genetic diagnosis or subtypes were diagnosed, please also provide the same MONDO code as you will use for the related variants in 6.1 Genetic Findings.",,,,,[disease_coding] = 'mondo',y,,,,,"Variable: 
SNOMED:64572001 | Disease  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.code  
- GA4GH Phenopacket Schema v2.0 Element: Disease.term:OntologyClass  "
snomedct_64572001_ordo,rarelink_5_disease,,text,5.1 Disease [ORDO],BIOPORTAL:ORDO,Please look up the ORDO code for the disease that the individual was affected by.,,,,,[disease_coding] = 'ordo',y,,,,,"Variable: 
SNOMED:64572001 | Disease  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.code  
- GA4GH Phenopacket Schema v2.0 Element: Disease.term:OntologyClass  "
snomedct_64572001_icd10cm,rarelink_5_disease,,text,5.1 Disease [ICD10CM],BIOPORTAL:ICD10CM,Please look up the ICD10CM code for the disease that the individual was affected by.,,,,,[disease_coding] = 'icd10cm',y,,,,,"Variable: 
SNOMED:64572001 | Disease  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.code  
- GA4GH Phenopacket Schema v2.0 Element: Disease.term:OntologyClass  "
snomedct_64572001_icd11,rarelink_5_disease,,text,5.1 Disease [ICD11],,Please enter the ICD11 code for the disease that the individual was affected by.,,,,,[disease_coding] = 'icd11',y,,,,,"Variable: 
SNOMED:64572001 | Disease  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.code  
- GA4GH Phenopacket Schema v2.0 Element: Disease.term:OntologyClass  "
snomedct_64572001_omim_p,rarelink_5_disease,,text,5.1 Disease [OMIM_P],BIOPORTAL:OMIM,"A disease that the individual was affected by.  If a genetic diagnosis or subtypes were diagnosed, please also provide the same OMIM_p code as you will use for the related variants in 6.1 Genetic Findings.",,,,,[disease_coding] = 'omim',y,,,,,"Variable: 
SNOMED:64572001 | Disease  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.code  
- GA4GH Phenopacket Schema v2.0 Element: Disease.term:OntologyClass  "
loinc_99498_8,rarelink_5_disease,,dropdown,5.2 Verification Status,"hl7fhir_unconfirmed, Unconfirmed | hl7fhir_provisional, Provisional | hl7fhir_differential, Differential | hl7fhir_confirmed, Confirmed | hl7fhir_refuted, Refuted | hl7fhir_entered-in-error, Entered in Error",The verification status of the disease.,,,,,,,,,,,"Variable: 
LOINC:99498-8 | Verification Status  
Choices: 
- HL7FHIR:unconfirmed | Unconfirmed  
- HL7FHIR:provisional | Provisional  
- HL7FHIR:differential | Differential  
- HL7FHIR:confirmed | Confirmed  
- HL7FHIR:refuted | Refuted  
- HL7FHIR:entered-in-error | Entered in Error  
Version(s): 
- LOINC vLNC278 LNC278  
- HL7 FHIR Version 4.0.1  
Mapping: 
- HL7 FHIR IPS: Condition.Extension(RareLink)
- GA4GH Phenopacket Schema v2.0 Element: Disease.excluded "
snomedct_424850005,rarelink_5_disease,,dropdown,5.3 Age at Onset,"snomedct_118189007, Prenatal | snomedct_3950001, Birth | snomedct_410672004, Date | snomedct_261665006, Unknown",The age at the onset of the first symptoms or signs of the disease.,,,,,,,,,,,"Variable: 
SNOMED:424850005 | Age at Onset  
Choices: 
- SNOMED:118189007 | Prenatal  
- SNOMED:3950001 | Birth  
- SNOMED:410672004 | Date  
- SNOMED:261665006 | Unknown  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.onsetString or Observation.valueCodeableConcept  
- GA4GH Phenopacket Schema v2.0 Element: Disease.onset  "
snomedct_298059007,rarelink_5_disease,,text,5.4 Date of Onset,,"The date at onset of first symptoms or signs of the disease. If the specific month or day is not known, select the 1st day of the month or the 1st month of the year, respectively",date_ymd,,,,,,,,,,"Variable: 
SNOMED:298059007 | Date of Onset  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.onsetDateTime  
- GA4GH Phenopacket Schema v2.0 Element: Disease.onset  "
snomedct_423493009,rarelink_5_disease,,dropdown,5.5 Age at Diagnosis,"snomedct_118189007, Prenatal | snomedct_3950001, Birth | snomedct_410672004, Date | snomedct_261665006, Unknown",The individual’s age when the diagnosis was made.,,,,,,,,,,,"Variable: 
SNOMED:423493009 | Age at Diagnosis  
Choices: 
- SNOMED:118189007 | Prenatal  
- SNOMED:3950001 | Birth  
- SNOMED:410672004 | Date  
- SNOMED:261665006 | Unknown  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Observation.valueCodeableConcept  
- GA4GH Phenopacket Schema v2.0 Element: n/a  "
snomedct_432213005,rarelink_5_disease,,text,5.6 Date of Diagnosis,,"The date on which the disease was determined. If the specific month or day is not known, select the 1st day of the month or the 1st month of the year, respectively",date_ymd,,,,,,,,,,"Variable: 
SNOMED:432213005 | Date of Diagnosis  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.recordedDate  
- GA4GH Phenopacket Schema v2.0 Element: Disease.onset  "
snomedct_363698007,rarelink_5_disease,,text,5.7 Body Site [SNOMED CT],BIOPORTAL:SNOMEDCT,The specific body site affected by disease is encoded using all descendants of SCT Body Structure (123037004).,,,,,,,,,,,"Variable: 
SNOMED:363698007 | Body Site  
Choices: 
n/a  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.bodySite.coding:snomed-ct  
- GA4GH Phenopacket Schema v2.0 Element: Disease.primary_site.OntologyClass  "
snomedct_263493007,rarelink_5_disease,,dropdown,5.8 Clinical Status,"hl7fhir_active, Active | hl7fhir_recurrence, Recurrence | hl7fhir_relapse, Relapse | hl7fhir_inactive, Inactive | hl7fhir_remission, Remission | hl7fhir_resolved, Resolved","The clinical status of the disease indicates whether it is active, inactive, or resolved.",,,,,,,,,,,"Variable: 
SNOMED:263493007 | Clinical Status  
Choices: 
- HL7FHIR:active | Active  
- HL7FHIR:recurrence | Recurrence  
- HL7FHIR:relapse | Relapse  
- HL7FHIR:inactive | Inactive  
- HL7FHIR:remission | Remission  
- HL7FHIR:resolved | Resolved  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
- HL7 FHIR Version 4.0.1  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.clinicalStatus  
- GA4GH Phenopacket Schema v2.0 Element: Interpretation.progress_status.ProgressStatus  "
snomedct_246112005,rarelink_5_disease,,dropdown,5.9 Disease Severity,"snomedct_24484000, Severe | snomedct_6736007, Moderate | snomedct_255604002, Mild",The severity of the disease is categorised by clinical evaluation.,,,,,,,,,,,"Variable: 
SNOMED:246112005 | Severity  
Choices: 
- SNOMED:24484000 | Severe  
- SNOMED:6736007 | Moderate  
- SNOMED:255604002 | Mild  
Version(s): 
- SNOMED CT SNOMEDCT_US_2024_09_01 SNOMEDCT_US_2024_09_01  
Mapping: 
- HL7 FHIR Expression v4.0.1: Condition.severity  
- GA4GH Phenopacket Schema v2.0 Element: n/a  "
genetic_diagnosis_code,rarelink_6_1_genetic_findings,"<div class=""rich-text-field-label""><p>RareLink - 6.1) Genetic Findings</p> <ul> <li style=""font-size: 8pt;""><span style=""font-size: 8pt;"">Tip: For guidance on entering data into the Genetic Findings sheet, refer to the <a href=""https://rarelink.readthedocs.io/en/latest/4_user_guide/4_1_manual_data_capture.html#genetic-findings"">Manual Data Capture Guide</a>.</span></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you have questions about RareLink, check out the </span><a href=""https://rarelink.readthedocs.io/en/latest/index.html"">RareLink documentation</a><span style=""font-weight: normal;""><a href=""https://rarelink.readthedocs.io/en/latest/index.html""> </a>or the </span><a href=""https://rarelink.readthedocs.io/en/latest/7_faq.html"">FAQ.</a></li> <li style=""font-size: 8pt;""><span style=""font-weight: normal;"">If you find issues, have feedback, or want to contribute, please see the</span> <a href=""https://rarelink.readthedocs.io/en/latest/5_contributing.html"">contributing guide.</a></li> </ul></div>",dropdown,Please choose the corresponding code system for a genetic diagnosis related to the variant captured below.,"mondo, MONDO | omim, OMIM","If you want to link it to a specific Disease, please use the same code system.",,,,,,,,,,,
