Form,Column_Name,Description,Variable type,Source
B1 Physical,VISION,"Without corrective lenses, is the subject 's vision functionally normal?",Original UDS question,v1-3
B1 Physical,HEARING,"Without a hearing aid(s), is the subject 's hearing functionally normal?",Original UDS question,v1-3
B2 HIS and CVD,ABRUPT,Abrupt onset (re: cognitive status),Original UDS question,v1-2
B2 HIS and CVD,STEPWISE,Stepwise deterioration (re: cognitive status),Original UDS question,v1-2
B2 HIS and CVD,SOMATIC,Somatic complaints,Original UDS question,v1-2
B2 HIS and CVD,EMOT,Emotional incontinence,Original UDS question,v1-2
B2 HIS and CVD,HXHYPER,History or presence of hypertension,Original UDS question,v1-2
B2 HIS and CVD,HXSTROKE,History of stroke,Original UDS question,v1-2
B2 HIS and CVD,FOCLSYM,Focal neurological symptoms,Original UDS question,v1-2
B2 HIS and CVD,FOCLSIGN,Focal neurological signs,Original UDS question,v1-2
B2 HIS and CVD,HACHIN,Hachinski ischemic score,Original UDS question,v1-2
B4 CDR® Plus NACC FTLD,MEMORY,Memory,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,ORIENT,Orientation,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,JUDGMENT,Judgment and problem-solving,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,COMMUN,Community affairs,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,HOMEHOBB,Home and hobbies,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,PERSCARE,Personal care,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,CDRSUM,CDR® sum of boxes,Original UDS question,v1-3
B4 CDR® Plus NACC FTLD,CDRGLOB,Global CDR®,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),SATIS,Are you basically satisfied with your life?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),DROPACT,Have you dropped many of your activities and interests?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),EMPTY,Do you feel that your life is empty?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),BORED,Do you often get bored?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),SPIRITS,Are you in good spirits most of the time?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),AFRAID,Are you afraid that something bad is going to happen to you?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),HAPPY,Do you feel happy most of the time?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),HELPLESS,Do you often feel helpless?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),STAYHOME,"Do you prefer to stay at home, rather than going out and doing new things?",Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),MEMPROB,Do you feel you have more problems with memory than most?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),WONDRFUL,Do you think it is wonderful to be alive now?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),WRTHLESS,Do you feel pretty worthless the way you are now?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),ENERGY,Do you feel full of energy?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),HOPELESS,Do you feel that your situation is hopeless?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),BETTER,Do you think that most people are better off than you are?,Original UDS question,v1-3
B6 Geriatric Depression Scale (GDS),NACCGDS,Total GDS Score,NACC derived variable,v1-3
B7 Functional Activities Questionnaire (FAQ),BILLS,"In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),TAXES,"In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other paper",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),SHOPPING,"In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),GAMES,"In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),STOVE,"In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),MEALPREP,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),EVENTS,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),PAYATTN,"In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),REMDATES,"In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications",Original UDS question,v1-3
B7 Functional Activities Questionnaire (FAQ),TRAVEL,"In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation",Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,NACCMMSE,Total MMSE score (using D-L-R-O-W),NACC derived variable,v1-3
C1 Neuropsychological Battery Summary Scores,DIGIF,Digit span forward trials correct,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,DIGIB,Digit span backward trials correct,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,ANIMALS,Animals — Total number of animals named in 60 seconds,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,VEG,Vegetable — Total number of vegetables named in 60 seconds,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,TRAILA,Trail Making Test Part A — Total number of seconds to complete,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,TRAILB,Trail Making Test Part B — Total number of seconds to complete,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,BOSTON,Boston Naming Test (30) — Total score,Original UDS question,v1-3
C1 Neuropsychological Battery Summary Scores,UDSVERFC,Number of correct F-words generated in 1 minute,Original UDS question,v3
C1 Neuropsychological Battery Summary Scores,UDSVERLC,Number of correct L-words generated in 1 minute,Original UDS question,v3
C2 Neuropsychological Battery Scores,MOCATOTS,MoCA Total Raw Score — uncorrected,Original UDS question,v3
D1 Clinician Diagnosis,AMYLPET,Abnormally elevated amyloid on PET,Original UDS question,v3
D1 Clinician Diagnosis,FDGAD,FDG-PET pattern of AD,Original UDS question,v3
D1 Clinician Diagnosis,NACCETPR,"Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia",NACC derived variable,v1-3
D2 Clinician-assessed Medical Conditions,CANCER,"Cancer present in the last 12 months (excluding non-melanoma skin cancer), primary or metastatic",Original UDS question,v3
