SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO
17J/01A,ALBUFEIRA DE BELVER (R.E.),39,39.48,-7.998,211592.464,279068.172,TEJO,RIO TEJO,61539.98,-,PORTALEGRE,GAVIÃO,GAVIÃO,EDP,EDP-Hidrotejo AS,Sensores automáticos,ESCALA,01-01-1952,-,20-02-2008,-,SIM,ATIVA,
08H/01A,ALBUFEIRA DE BURGÃES,547,40.854,-8.303,185607.685,431635.036,VOUGA/RIBEIRAS COSTEIRAS,RIO CAIMA,32.8,-,AVEIRO,VALE DE CAMBRA,CEPELOS,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE BURGÃES,Sensor de nível em albufeira,ESCALA,01-01-1931,-,28-01-2002,-,NÃO,ATIVA,
05P/02A,ALBUFEIRA DE CAMBA,608,41.369,-6.956,298507.222,489473.274,DOURO,RIBEIRA DO MALIMÃO,.62,-,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,21-08-2003,-,NÃO,ATIVA,
26F/01A,ALBUFEIRA DE CAMPILHAS,103,37.845,-8.612,157225.883,97313.639,SADO,RIBEIRA DE CAMPILHAS,106.94,-,SETÚBAL,SANTIAGO DO CACÉM,VALE DE ÁGUA,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE CAMPILHAS E ALTO SADO,Sensor de nível em albufeira,ESCALA,01-01-1954,-,12-07-2001,-,NÃO,SUSPENSA,
30M/06A,ALBUFEIRA DE CAROUCHA,-,37.253519,-7.487947,256131.86,32315.05,GUADIANA,RIBEIRA DA CAROUCHA,-,-,FARO,CASTRO MARIM,CASTRO MARIM,APA,-,Sensor de nível em albufeira,-,-,-,20-04-2016,-,NÃO,ATIVA,
16H/01A,ALBUFEIRA DE CASTELO DE BODE (R.E.),74,39.545,-8.323,184021.29,286119.661,TEJO,RIO ZÊZERE,3964.56,-,SANTARÉM,TOMAR,SÃO PEDRO DE TOMAR,EDP,EDP,Sensores automáticos,ESCALA,01-01-1951,-,24-01-1996,-,SIM,ATIVA,
15J/01A,ALBUFEIRA DE CORGAS,509,39.812,-7.912,219623.804,316548.454,TEJO,RIO ISNA,24.61,-,CASTELO BRANCO,OLEIROS,ISNA,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE PROENÇA-A-NOVA,Sensor de nível em albufeira,ESCALA,01-01-1991,-,17-07-2002,-,NÃO,ATIVA,
28G/02A,ALBUFEIRA DE CORTE BRIQUE,144,37.609,-8.453,171721.633,71466.491,MIRA,RIBEIRA DE LUZIANES,26.6,-,BEJA,ODEMIRA,LUZIANES-GARE,-,BENEFICIÁRIOS DO MIRA,Sensor de nível em albufeira,ESCALA,01-01-1993,-,-,-,NÃO,ATIVA,
12L/01AE,ALBUFEIRA DE COVÃO DO FERRO,1558,40.314,-7.595,245715.6,371804.385,TEJO,RIBEIRA DE UNHAIS,1.85,-,CASTELO BRANCO,COVILHÃ,UNHAIS DA SERRA,-,Penteadora -Soc. Ind. P. e F.LÃS LDA,-,ESCALA,01-01-1956,-,-,-,NÃO,ATIVA,
13L/01AE,ALBUFEIRA DE COVÃO DO MEIO (R.E.),1648,40.334,-7.633,242523.902,374034.931,TEJO,RIO RAMALHOSO,4.3,-,GUARDA,SEIA,LORIGA,-,EDP-Hidrocenel,-,ESCALA,01-01-1953,-,-,-,NÃO,ATIVA,
07G/01A,ALBUFEIRA DE CRESTUMA (R.E.),4,41.074,-8.488,170243.706,456011.002,DOURO,RIO DOURO,96932.81,-,PORTO,VILA NOVA DE GAIA,LEVER,EDP,EDP,Sensores automáticos,ESCALA,01-01-1985,-,25-11-1996,-,SIM,ATIVA,
09H/07A,ALBUFEIRA DE ERMIDA (R.E.),-,40.714337,-8.353046,181310.74,415247.77,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,-,-,AVEIRO,SEVER DO VOUGA,SEVER DO VOUGA,EDP,-,Sensores automáticos,-,-,-,21-12-2015,-,SIM,ATIVA,
12N/01AE,ALBUFEIRA DE ESCARIGO,547,40.259,-7.286,272032.217,365948.171,TEJO,RIBEIRA DO ESCARIGO,1.7,-,CASTELO BRANCO,FUNDÃO,ESCARIGO,-,Autoridade Nacional da Água,-,ESCALA,04-10-1983,-,-,-,NÃO,ATIVA,
10K/01A,ALBUFEIRA DE FAGILDE,318,40.639,-7.783,228743.08,407307.395,MONDEGO,RIO DÃO,426.75,-,VISEU,VISEU,POVOLIDE,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE VISEU,Sensor de nível em albufeira,ESCALA,01-01-1984,-,10-12-2001,-,SIM,ATIVA,
06N/01A,ALBUFEIRA DE FONTE LONGA,604,41.305,-7.169,271480.641,473698.138,DOURO,RIBEIRA DO ARCO,3.28,-,BRAGANÇA,CARRAZEDA DE ANSIÃES,FONTE LONGA,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE CARRAZEDA DE ANSIÃES,Sensor de nível em albufeira,ESCALA,01-01-1988,-,19-08-2003,-,NÃO,ATIVA,
26G/01AE,ALBUFEIRA DE FONTE SERNE,72,37.881,-8.497,167992.903,101707.343,SADO,BARRANCO DE BENATELAR,31.68,-,SETÚBAL,SANTIAGO DO CACÉM,SÃO DOMINGOS,-,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE CAMPILHAS E ALTO SADO,Sensor de nível em albufeira,ESCALA,01-01-1977,-,-,-,NÃO,ATIVA,
07J/01A,ALBUFEIRA DE FREIGIL (R.E.),545,41.052,-7.98,212890.609,453709.88,DOURO,RIO CABRUM,31.64,-,VISEU,RESENDE,SÃO CIPRIANO,EDP,EDP-HDN,Sensores automáticos,ESCALA,01-01-1926,-,28-02-2005,-,SIM,ATIVA,
12I/01A,ALBUFEIRA DE FRONHAS (R.E.),111,40.241,-8.157,197473.197,364386.509,MONDEGO,RIO ALVA OU RIBEIRA DA FERVENÇA,640.93,-,COIMBRA,ARGANIL,SÃO MARTINHO DA CORTIÇA,EDP,EDP,Sensores automáticos,ESCALA,01-01-1985,-,18-12-1996,-,SIM,ATIVA,
17L/03A,ALBUFEIRA DE GAFETE,301,39.395,-7.655,241150.896,269789.643,TEJO,RIBEIRA DO VALE DO CASTELO,43.53,-,PORTALEGRE,CRATO,GÁFETE,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,01-07-2001,-,NÃO,ATIVA,
04I/01A,ALBUFEIRA DE GUILHOFREI (R.E.),312,41.585,-8.138,199625.093,512889.558,AVE,RIO AVE,120.86,-,BRAGA,VIEIRA DO MINHO,GUILHOFREI,EDP,EDP-HDN,Sensores automáticos,ESCALA,01-01-1939,-,09-04-2017,-,SIM,ATIVA,
14N/01A,ALBUFEIRA DE IDANHA,258,39.946,-7.202,279626.509,331151.527,TEJO,RIO PÔNSUL,364.34,-,CASTELO BRANCO,IDANHA-A-NOVA,IDANHA-A-NOVA,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE IDANHA-A-NOVA,Sensor de nível em albufeira,ESCALA,01-01-1947,-,23-01-2002,-,NÃO,ATIVA,
22M/01A,ALBUFEIRA DE LUCEFÉCIT,181,38.636,-7.406,263307.399,185624.958,GUADIANA,RIBEIRA LUCEFÉCIT,253.84,-,ÉVORA,ALANDROAL,TERENA (SÃO PEDRO),Autoridade Nacional da Água,ASSOCIAÇÃO DE BENEFICIÁRIOS DO LUCEFECIT,Sensor de nível em albufeira,ESCALA,01-01-1982,-,26-09-2001,-,SIM,ATIVA,
20E/01A,ALBUFEIRA DE MAGOS,25,38.998,-8.688,151705.655,225387.598,TEJO,RIBEIRA DE MAGOS,105.5,-,SANTARÉM,SALVATERRA DE MAGOS,FOROS DE SALVATERRA,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO VALE DO SORRAIA,Sensor de nível em albufeira,ESCALA,01-01-1938,-,01-01-2002,-,NÃO,SUSPENSA,
12O/01A,ALBUFEIRA DE MEIMOA,527,40.263,-7.151,284187.963,366228.82,TEJO,RIBEIRA DA MEIMOA,60.27,-,CASTELO BRANCO,PENAMACOR,MEIMOA,Autoridade Nacional da Água,CCDR-CENTRO,Sensor de nível em albufeira,ESCALA,01-01-1985,-,23-01-2002,-,NÃO,ATIVA,
22I/01A,ALBUFEIRA DE MINUTOS (DGADR),243,38.659,-8.098,203069.896,187960.272,TEJO,RIO ALMANSOR OU RIBEIRA DE SANTO ESTEVÃO OU DE CANHA,94.85,-,ÉVORA,MONTEMOR-O-NOVO,NOSSA SENHORA DA VILA,DIRECÇÃO GERAL DA AGRICULTURA E DESENVOLVIMENTO RURAL (DGADR),-,Sensor de nível em albufeira,ESCALA,11-04-1974,-,01-07-2015,-,NÃO,ATIVA,
05T/01A,ALBUFEIRA DE MIRANDA (R.E.),493,41.484,-6.28,356095.332,503796.45,DOURO,RIO DOURO,63665.16,-,BRAGANÇA,MIRANDA DO DOURO,MIRANDA DO DOURO,Engie  Portugal,EDP,Sensores automáticos,ESCALA,01-11-1960,-,25-11-1996,-,SIM,ATIVA,
19H/01A,ALBUFEIRA DE MONTARGIL,72,39.053,-8.175,196345.503,231711.532,TEJO,RIO SÔR,1183.41,-,PORTALEGRE,PONTE DE SOR,MONTARGIL,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO VALE DO SORRAIA,Sensor de nível em albufeira,ESCALA,01-01-1958,-,01-07-2001,-,SIM,SUSPENSA,
29I/01A,ALBUFEIRA DE MONTE CLÉRIGO,294,37.497,-8.061,206396.728,58966.71,GUADIANA,RIO COBRES OU RIBEIRA DE TERGES,3.27,-,BEJA,ALMODÔVAR,ALMODÔVAR,Autoridade Nacional da Água,CÂMARA MUNICIPAL ALMODÔVAR,Sensor de nível em albufeira,ESCALA,-,-,10-05-2001,-,NÃO,ATIVA,
27H/01A,ALBUFEIRA DE MONTE DA ROCHA,132,37.736,-8.294,186426.571,84666.481,SADO,RIO SADO,244.93,-,BEJA,OURIQUE,PANÓIAS,Autoridade Nacional da Água,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE CAMPILHAS E ALTO SADO,Sensor de nível em albufeira,ESCALA,01-01-1972,-,13-07-2001,-,NÃO,SUSPENSA,
27H/03AE,ALBUFEIRA DE MONTE MIGUEIS,149,37.789,-8.265,188345.776,91360.505,SADO,RIO SADO,12.77,-,BEJA,OURIQUE,CONCEIÇÃO,-,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE CAMPILHAS E ALTO SADO,-,ESCALA,01-01-1991,-,-,-,NÃO,ATIVA,
26E/01A,ALBUFEIRA DE MORGAVÉL,65,37.898,-8.761,144750.372,103635.221,RIBEIRAS DO ALENTEJO,RIBEIRA DE MORGAVÉL,24.92,-,SETÚBAL,SINES,SINES,Autoridade Nacional da Água,INAG/DELSA,Sensor de nível em albufeira,ESCALA,01-01-1980,-,11-07-2001,-,NÃO,SUSPENSA,
18K/02A,ALBUFEIRA DE NASCENTES,281,39.326,-7.696,237686.907,262133.315,TEJO,RIBEIRA DA SEPELHEIRA,1.06,-,PORTALEGRE,CRATO,MONTE DA PEDRA,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,01-07-2001,05-07-2017,NÃO,DESATIVADA,
30L/01A,ALBUFEIRA DE ODELEITE,47,37.331,-7.518,257308.405,40753.995,GUADIANA,RIBEIRA DE ODELEITE,347.51,-,FARO,CASTRO MARIM,ODELEITE,Autoridade Nacional da Água,CCDR-ALGARVE,Sensor de nível em albufeira,ESCALA,01-01-1996,-,17-05-2001,-,SIM,ATIVA,
24I/01A,ALBUFEIRA DE ODIVELAS,88,38.187,-8.121,201558.405,135311.731,SADO,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,431.88,-,BEJA,FERREIRA DO ALENTEJO,ODIVELAS,Autoridade Nacional da Água,BENEFICIÁRIOS DE ODIVELAS,Sensor de nível em albufeira,ESCALA,01-01-1972,-,01-01-2007,-,NÃO,SUSPENSA,
18F/03A,ALBUFEIRA DE PATUDOS,11,39.247600671,-8.589464748,160604,253396,TEJO,VALA DE ALPIARÇA OU DO PAÚL OU RIBEIRA DE ULME,6,-,SANTARÉM,ALPIARÇA,ALPIARÇA,Autoridade Nacional da Água,-,Sensor de nível em albufeira,-,-,-,18-04-2001,-,NÃO,ATIVA,
13O/01A,ALBUFEIRA DE PENHA GARCIA,517,40.045,-7.015,295385.158,342481.976,TEJO,RIO PÔNSUL,14.48,-,CASTELO BRANCO,IDANHA-A-NOVA,PENHA GARCIA,Autoridade Nacional da Água,CÂMARA MUNICIPAL DE IDANHA-A-NOVA,Sensor de nível em albufeira,ESCALA,01-01-1978,-,27-11-2001,-,NÃO,SUSPENSA,
04F/01A,ALBUFEIRA DE PENIDE,34,41.549571699,-8.537080799,166296,508995,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,1318.27,-,BRAGA,BARCELOS,AREIAS DE VILAR,Autoridade Nacional da Água,EDP-HDN,Sensor de nível em albufeira,ESCALA,25-10-1954,-,24-06-2003,-,NÃO,ATIVA,
23G/01A,ALBUFEIRA DE PÊGO DO ALTAR,43,38.419,-8.392,177388.495,161309.008,SADO,RIBEIRA DE ALCÁÇOVAS,748.85,-,SETÚBAL,ALCÁCER DO SAL,SANTA SUSANA,Autoridade Nacional da Água,ASSOCIAÇÃO DE BENEFICIÁRIOS DO VALE DO SADO,Sensor de nível em albufeira,ESCALA,01-01-1949,-,05-11-1998,-,SIM,ATIVA,
